:centre,:days,:cif-transplant,:cif-removal,:cif-death,:cif-all
Newcastle,193.0,0.2067540986,0.0060714113,0.0107183208,0.2302787771
Newcastle,195.0,0.2089001417,0.0060714113,0.0107183208,0.2323995064
Newcastle,197.0,0.2089001417,0.0072995556,0.0107183208,0.234516141
Newcastle,198.0,0.2131783342,0.0085321487,0.0107183208,0.2408359396
Newcastle,200.0,0.2153255626,0.0085321487,0.0107183208,0.2429474372
Newcastle,201.0,0.2174749682,0.0085321487,0.0107183208,0.2450591435
Newcastle,203.0,0.2196258574,0.0085321487,0.0125216313,0.2492774775
Newcastle,205.0,0.2217749948,0.0085321487,0.0125216313,0.2513887194
Newcastle,206.0,0.2239253229,0.0085321487,0.0125216313,0.2534995628
Newcastle,208.0,0.2260765839,0.0085321487,0.0125216313,0.2556089288
Newcastle,209.0,0.2260765839,0.0085321487,0.0143224196,0.2577173184
Newcastle,210.0,0.2282278593,0.0085321487,0.0143224196,0.2598210247
Newcastle,215.0,0.2303765897,0.0085321487,0.0143224196,0.2619259307
Newcastle,219.0,0.2325240798,0.0085321487,0.0143224196,0.2640348315
Newcastle,222.0,0.2368155778,0.0085321487,0.0143224196,0.2682488061
Newcastle,223.0,0.2368155778,0.0097639165,0.0143224196,0.270358905
Newcastle,225.0,0.2368155778,0.0097639165,0.0161241667,0.2724670383
Newcastle,228.0,0.2411024876,0.0097639165,0.0161241667,0.276675243
Newcastle,232.0,0.2454172556,0.0097639165,0.0179269137,0.2830076141
Newcastle,241.0,0.2475772251,0.0109955673,0.0179269137,0.2872409881
Newcastle,243.0,0.2497357111,0.0109955673,0.0179269137,0.2893586113
Newcastle,246.0,0.2540458114,0.0109955673,0.0179269137,0.2935872291
Newcastle,254.0,0.256204068,0.0109955673,0.0179269137,0.2957107626
Newcastle,256.0,0.2605217608,0.0109955673,0.0179269137,0.2999519739
Newcastle,257.0,0.2626854889,0.0109955673,0.0179269137,0.3020774162
Newcastle,265.0,0.2648584911,0.0109955673,0.0179269137,0.3042106007
Newcastle,266.0,0.2692009172,0.0109955673,0.0179269137,0.3084681228
Newcastle,270.0,0.2713922117,0.0109955673,0.0179269137,0.3106079708
Newcastle,271.0,0.273578188,0.0109955673,0.0179269137,0.3127447865
Newcastle,272.0,0.2757596397,0.0109955673,0.0179269137,0.3148775561
Newcastle,277.0,0.2779382589,0.0109955673,0.0179269137,0.317008492
Newcastle,282.0,0.2801188496,0.0109955673,0.0179269137,0.3191423188
Newcastle,285.0,0.2822988591,0.0109955673,0.0179269137,0.3212771114
Newcastle,291.0,0.284482815,0.0109955673,0.0179269137,0.3234121917
Newcastle,295.0,0.2866687811,0.0122361423,0.0179269137,0.3276745077
Newcastle,303.0,0.2866687811,0.0134761297,0.0179269137,0.3298055875
Newcastle,304.0,0.2888502238,0.0134761297,0.0179269137,0.3319400727
Newcastle,305.0,0.2910277199,0.0134761297,0.0197342683,0.336195693
Newcastle,307.0,0.2932135396,0.0134761297,0.0197342683,0.3383308963
Newcastle,311.0,0.2953975145,0.0134761297,0.0197342683,0.3404633709
Newcastle,313.0,0.2953975145,0.0134761297,0.0215414587,0.3425986057
Newcastle,314.0,0.2975826343,0.0134761297,0.0215414587,0.3447357551
Newcastle,317.0,0.2997697226,0.0134761297,0.0215414587,0.3468751361
Newcastle,318.0,0.3063036253,0.0134761297,0.0215414587,0.3532686366
Newcastle,322.0,0.3084833171,0.0134761297,0.0215414587,0.3554027488
Newcastle,326.0,0.3128277519,0.0134761297,0.0215414587,0.3596571432
Newcastle,330.0,0.3150000549,0.0134761297,0.0215414587,0.3617883012
Newcastle,334.0,0.3171744141,0.0147149854,0.0215414587,0.3660448745
Newcastle,336.0,0.3193454953,0.0147149854,0.0215414587,0.3681691175
Newcastle,337.0,0.321514572,0.0147149854,0.0215414587,0.3702904522
Newcastle,338.0,0.321514572,0.0147149854,0.0233486305,0.3724114446
Newcastle,340.0,0.3236831977,0.0147149854,0.0233486305,0.3745325576
Newcastle,341.0,0.3280221098,0.0147149854,0.0233486305,0.378772338
Newcastle,343.0,0.3301994731,0.0147149854,0.0233486305,0.3808965311
Newcastle,348.0,0.3323783502,0.0147149854,0.0233486305,0.3830210468
Newcastle,361.0,0.3345587268,0.0147149854,0.0233486305,0.385146908
Newcastle,363.0,0.3367389064,0.0147149854,0.0251612412,0.3893885898
Newcastle,364.0,0.3410886029,0.0147149854,0.0251612412,0.3936198516
Newcastle,367.0,0.3432653906,0.0159563647,0.0269757507,0.399941633
Newcastle,370.0,0.3454442677,0.0159563647,0.0269757507,0.4020560235
Newcastle,373.0,0.3497888879,0.0159563647,0.0269757507,0.4062844985
Newcastle,375.0,0.3519639379,0.0159563647,0.0269757507,0.408400268
Newcastle,377.0,0.354144296,0.0159563647,0.0269757507,0.4105197034
Newcastle,380.0,0.3584933299,0.0159563647,0.0269757507,0.4147447191
Newcastle,383.0,0.3584933299,0.0159563647,0.0287892442,0.4168624187
Newcastle,386.0,0.362853386,0.0159563647,0.0306084915,0.423187606
